Problem ID,Problem,Short Answer,Category,Subcategory,Source
general365-253-2,"Given a polynomial function f(x) such that f(1)=2, f(2)=3, f(3)=7, \text{ and } f(4)=25, what is the expression for f(n)? Please select one or more options that you consider correct.\nA n! + 1\nB \frac{11}{6}n^3 - \frac{19}{2}n^2 + \frac{50}{3}n - 7\nC \frac{1}{6}n^4 + \frac{1}{6}n^3 - \frac{11}{3}n^2 + \frac{25}{3}n - 3\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>\nSelect one or more appropriate options as your final answer based on the question above.","B,C",General365,multiple_choice,general365
general365-253-6,"There is a polynomial function $f(x)$,$f(1)=2,f(2)=8,f(3)=24,f(4)=64$. What is the expression of $f(n)$? Select one or more options that you think are correct.\nA \(n \cdot 2^n\)\nB \(\frac{7}{3}n^3 - 9n^2 + \frac{50}{3}n - 8\)\nC \(n^4 - \frac{23}{3}n^3 + 26n^2 - \frac{100}{3}n + 16\)\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>\nSelect one or more appropriate options as your final answer based on the question above.","B,C",General365,multiple_choice,general365
general365-318-2,"A farming cooperative provides subsidies or issues warnings on the first of each month based on the month-on-month (MoM) change in grain production from the preceding month. A subsidy is granted if production increased, while a warning is issued if production decreased. Which of the following options is/are incorrect?\nA. If Farmer A's total output in the second quarter is twice that of the first quarter, the number of subsidies he receives in the second quarter must be greater than the number of warnings.\nB. If Farmer B's monthly grain output shows consistent month-on-month growth throughout a specific year, he will not receive any warnings during that year.\nC. If Farmer C's land lies fallow for two months every year (resulting in zero output during those months), he will receive at least one warning each year.\nD. If Farmer D receives only one subsidy throughout the year, his total annual grain output for this year must be lower than that of the previous year.\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>\nSelect one or more appropriate options as your final answer based on the question above.",ABCD,General365,multiple_choice,general365
general365-318-3,"An app store adjusts an app's recommendation tier on the first of each month based on the month-on-month (MoM) change in its download volume from the preceding month. An increase in downloads results in a tier upgrade, while a decrease results in a tier downgrade. Which of the following statements is/are incorrect?\nA. If an app's total downloads in the second half of the year are only one-third of those in the first half, the number of recommendation tier downgrades it receives during the second half must be greater than the number of upgrades.\nB. If an app achieves consistent month-on-month growth in downloads every month throughout the year, it is impossible for its recommendation tier to be downgraded during that year.\nC. If an app was delisted for two months due to technical issues (resulting in zero downloads), its recommendation tier must have been downgraded at least once during that year.\nD. If an app's recommendation tier was upgraded only once throughout the year, its total annual download volume for this year must be lower than that of the previous year.\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>\nSelect one or more appropriate options as your final answer based on the question above.",ABCD,General365,multiple_choice,general365
general365-253,"There is a polynomial function ( f(x) ) such that\n( f(1) = 3 ), ( f(2) = 10 ), ( f(3) = 35 ), ( f(4) = 132 ), ( f(5) = 517 ).\nWhat is ( f(n) )? Please choose one or more options that you believe are correct.\nA. ( 2^{2n-1} + n )\n\nB. ( \frac{27}{4}n^4 - \frac{117}{2}n^3 + \frac{765}{4}n^2 - \frac{517}{2}n + 122 )\n\nC. ( \frac{81}{20}n^5 - 54n^4 + \frac{1143}{4}n^3 - 720n^2 + \frac{4256}{5}n - 364 )\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>\nSelect one or more appropriate options as your final answer based on the question above.","B,C",General365,multiple_choice,general365
general365-340-6,"Four participants-John, David, Michael, and Kevin-take part in a parade, moving in perfect unison. After entering, they stand in a single row. From the reviewing stand located on the north side, the participants are seen from the stand's right to left in the following order: John, David, Michael, and Kevin. When Michael turns 90° to his left, and ignoring any occlusion, what is the minimum number of teammates Michael can see?\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: $\boxed{<Your Answer>}$\nFor example:\n### The final answer is: $\boxed{123}$",\boxed{1},General365,number,general365
general365-18,"Xiao Ming has a set of numbers:\n35724,\n23219,\n65426,\n25824.\nAfter looking at them for a long time, Xiao Ming noticed there is a connection between their corresponding digits, but after thinking for a while, he couldn't figure out what it is.\nFind their pattern and determine what the next number is.\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: $\boxed{<Your Answer>}$\nFor example:\n### The final answer is: $\boxed{123}$",\boxed{25244},General365,number,general365
general365-306-2,"This is a periodic sequence {5, 10, 15, 20, 25, 30, ... } with a period length of n, where n < 10. If, for every possible value of the number of terms N that satisfies the given conditions, all factors of N must belong to the set {m_1, m_2, m_3, ... }, what is the sum of the elements in this set?\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: $\boxed{<Your Answer>}$\nFor example:\n### The final answer is: $\boxed{123}$",\boxed{40},General365,number,general365
general365-352,"You have 100 cards, numbered from 1 to 100. Each card has two sides, with the front side showing the number and the back side showing a red flower. Currently, all 100 cards are facing upwards. First, flip all the cards whose numbers are multiples of 1, then flip all the cards whose numbers are multiples of 2, then flip all the cards whose numbers are multiples of 3, then flip all the cards whose numbers are multiples of 4. Then how many cards will be facing upwards in the end?\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: $\boxed{<Your Answer>}$\nFor example:\n### The final answer is: $\boxed{123}$",\boxed{42},General365,number,general365
general365-165-2,"Wright and Johnson are chefs working in the same restaurant. For a 5-day ""Gourmet Week,"" the restaurant presents 5 signature dishes in total. Each chef is required to feature one signature dish each day.\n\nWright features one different dish each day.\nJohnson features 4 distinct dishes over the 5 days, repeating exactly one of them on the remaining day.\n\nQuestion: What is the probability that they featured the same signature dish on exactly 4 out of the 5 days?\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: $\boxed{<Your Answer>}$\nFor example:\n### The final answer is: $\boxed{123}$\nThe final answer should be given as precisely as possible (using LaTeX symbols such as \sqrt, \frac, \pi, etc.). If the final answer involves a decimal approximation, it must be accurate to at least 4 decimal places.",\boxed{\frac{1}{60}},General365,number,general365
